|city_name|country_code|data|lat|lon|state_code|timezone
38|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:39:00', 'timestamp_utc': '2024-03-21T08:39:00', 'ts': 1711010340}|35.5|-78.5|NC|America/New_York
39|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:40:00', 'timestamp_utc': '2024-03-21T08:40:00', 'ts': 1711010400}|35.5|-78.5|NC|America/New_York
40|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:41:00', 'timestamp_utc': '2024-03-21T08:41:00', 'ts': 1711010460}|35.5|-78.5|NC|America/New_York
41|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:42:00', 'timestamp_utc': '2024-03-21T08:42:00', 'ts': 1711010520}|35.5|-78.5|NC|America/New_York
42|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:43:00', 'timestamp_utc': '2024-03-21T08:43:00', 'ts': 1711010580}|35.5|-78.5|NC|America/New_York
43|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:44:00', 'timestamp_utc': '2024-03-21T08:44:00', 'ts': 1711010640}|35.5|-78.5|NC|America/New_York
44|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:45:00', 'timestamp_utc': '2024-03-21T08:45:00', 'ts': 1711010700}|35.5|-78.5|NC|America/New_York
45|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:46:00', 'timestamp_utc': '2024-03-21T08:46:00', 'ts': 1711010760}|35.5|-78.5|NC|America/New_York
46|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:47:00', 'timestamp_utc': '2024-03-21T08:47:00', 'ts': 1711010820}|35.5|-78.5|NC|America/New_York
47|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.3, 'timestamp_local': '2024-03-21T04:48:00', 'timestamp_utc': '2024-03-21T08:48:00', 'ts': 1711010880}|35.5|-78.5|NC|America/New_York
48|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:49:00', 'timestamp_utc': '2024-03-21T08:49:00', 'ts': 1711010940}|35.5|-78.5|NC|America/New_York
49|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:50:00', 'timestamp_utc': '2024-03-21T08:50:00', 'ts': 1711011000}|35.5|-78.5|NC|America/New_York
50|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:51:00', 'timestamp_utc': '2024-03-21T08:51:00', 'ts': 1711011060}|35.5|-78.5|NC|America/New_York
51|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:52:00', 'timestamp_utc': '2024-03-21T08:52:00', 'ts': 1711011120}|35.5|-78.5|NC|America/New_York
52|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:53:00', 'timestamp_utc': '2024-03-21T08:53:00', 'ts': 1711011180}|35.5|-78.5|NC|America/New_York
53|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:54:00', 'timestamp_utc': '2024-03-21T08:54:00', 'ts': 1711011240}|35.5|-78.5|NC|America/New_York
54|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.2, 'timestamp_local': '2024-03-21T04:55:00', 'timestamp_utc': '2024-03-21T08:55:00', 'ts': 1711011300}|35.5|-78.5|NC|America/New_York
55|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.1, 'timestamp_local': '2024-03-21T04:56:00', 'timestamp_utc': '2024-03-21T08:56:00', 'ts': 1711011360}|35.5|-78.5|NC|America/New_York
56|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.1, 'timestamp_local': '2024-03-21T04:57:00', 'timestamp_utc': '2024-03-21T08:57:00', 'ts': 1711011420}|35.5|-78.5|NC|America/New_York
57|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.1, 'timestamp_local': '2024-03-21T04:58:00', 'timestamp_utc': '2024-03-21T08:58:00', 'ts': 1711011480}|35.5|-78.5|NC|America/New_York
58|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.1, 'timestamp_local': '2024-03-21T04:59:00', 'timestamp_utc': '2024-03-21T08:59:00', 'ts': 1711011540}|35.5|-78.5|NC|America/New_York
59|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.1, 'timestamp_local': '2024-03-21T05:00:00', 'timestamp_utc': '2024-03-21T09:00:00', 'ts': 1711011600}|35.5|-78.5|NC|America/New_York
